from,to,
1700023373,17077,
4800022660,48215,
500018550,5117,
1300002564,13081,
800015605,8077,
1700001946,17017,
200003440,2105,
4200003264,42107,
4200003264,42037,
5500024700,55113,
4000025250,40081,
3900001630,39045,
4100015000,41021,
3900021308,39039,
3000005275,30013,
3600001286,36009,
5100031936,51137,
100003556,1039,
3500033290,35015,
500000250,5105,
1900003385,19139,
2600023140,26087,
3700020600,37017,
1200018575,12103,
3900008532,39049,
4600019980,46057,
3900004920,39035,
3900029050,39117,
2200027155,22101,
1700023620,17043,
1700023620,17031,
4500030355,45059,
4500032335,45035,
100014464,1121,
1200003975,12086,
2900029764,29037,
2700010018,27017,
1800006634,18019,
2900000244,29013,
2000001550,20099,
2700024308,27053,
1000001400,10003,
1600001990,16019,
500013570,5033,
4200003656,42029,
3600013618,36059,
3500026780,35059,
4000001050,40127,
400028030,4007,
3700004950,37019,
2900004888,29071,
1300014500,13233,
2000021675,20045,
5400008092,54061,
600001444,6049,
1700004806,17081,
3700025980,37081,
3700025980,37001,
2900014788,29043,
600003820,6065,
2000020050,20015,
1800000802,18135,
1800000802,18035,
3100021240,31165,
3100003145,31183,
4600003860,46102,
1800003718,18157,
4000021700,40047,
2900006652,29095,
2900006454,29186,
2700001900,27037,
4800019984,48501,
4800019984,48165,
2600009180,26125,
4600007580,46011,
4200003488,42107,
2200002165,22117,
4200023568,42121,
4200023568,42031,
3400022890,34035,
1800012376,18095,
1800012376,18035,
3100007065,31133,
5500007800,55025,
2900006256,29073,
2900006256,29151,
1700030458,17109,
4200000988,42125,
4100009050,41043,
800016495,8001,
2700025280,27023,
2700025280,27173,
5500024550,55105,
3600018212,36091,
2000015725,20131,
3500031330,35005,
1900025005,19159,
1900016815,19069,
800009115,8043,
4000016050,40013,
1200006925,12013,
3500024610,35057,
5500023300,55127,
4200018000,42021,
2900001720,29057,
1600019900,16069,
1300021940,13085,
100019912,1091,
1700034163,17123,
2700015544,27127,
2800030980,28095,
200018620,2240,
2900026902,29185,
4100018850,41041,
500018520,5017,
600021782,6025,
2900019396,29207,
500006040,5121,
600025338,6081,
3700017340,37171,
4800020848,48067,
4700025440,47187,
2700019880,27015,
1300027008,13071,
200021810,2070,
4800008128,48245,
2400022600,24045,
1300024796,13065,
2600023500,26155,
4000022550,40065,
4500016000,45079,
4500016000,45063,
4800023164,48201,
3100007555,31169,
1300037396,13235,
1700023737,17113,
1700023737,17203,
5500023525,55093,
5300021450,53027,
1000004650,10003,
2100032212,21139,
1300025300,13175,
3800024780,38005,
2900023086,29177,
2900023086,29047,
3600015297,36071,
1900026310,19007,
100025120,1073,
2000022775,20073,
2900023662,29007,
2600021180,26091,
3600025967,36027,
2700025918,27053,
4700008280,47187,
1200024000,12011,
1600028810,16041,
4200026296,42035,
3800032900,38077,
3500030770,35059,
5500001325,55005,
100028672,1049,
3500030210,35009,
4000028500,40047,
100029032,1043,
100029032,1009,
2000025375,20173,
5400030364,54019,
3900029722,39123,
2900023077,29177,
2900023077,29047,
2900026866,29071,
4700028960,47157,
3600029597,36089,
600030000,6037,
2000019875,20137,
2900027676,29011,
100030736,1107,
3700027780,37061,
3800032300,38017,
3800032300,38097,
2600034360,26123,
100033448,1103,
2900029476,29223,
1200028000,12113,
600006434,6071,
3900032984,39015,
1700010383,17003,
500029920,5049,
500029920,5135,
4800016696,48121,
3600084000,36119,
4600073060,46135,
5500088325,55115,
5500086700,55079,
1700081191,17117,
3900084574,39175,
5500086025,55073,
2000077200,20149,
2600086000,26163,
4200084272,42079,
3600081292,36043,
4200084064,42019,
5500086275,55063,
5300077665,53005,
1300082132,13145,
1300082132,13285,
3200084800,32013,
4800077416,48039,
3600079499,36045,
5000079150,50005,
1900083325,19075,
5500084475,55073,
1300080480,13199,
2100080490,21117,
2100080490,21015,
4800079876,48399,
600083332,6037,
3400076490,34003,
4200086568,42065,
3800082660,38077,
4000072050,40101,
600085012,6115,
4200086128,42009,
2900071620,29041,
3600083371,36121,
4200075024,42123,
2400076725,24013,
3900074944,39153,
4600061740,46051,
3800087020,38051,
2800075880,28015,
1600077500,16049,
2600087420,26065,
3600077431,36091,
2800077480,28139,
5500077200,55097,
1700072156,17011,
4500071305,45069,
4800070376,48493,
3500074800,35007,
2900072340,29005,
3700075340,37131,
1800072764,18171,
2900079126,29009,
4200086952,42079,
3500079980,35035,
3400073140,34031,
4800069830,48201,
600082744,6059,
500071510,5113,
4200074728,42031,
1900077880,19033,
3100046695,31083,
500066860,5103,
2600080820,26011,
4700073120,47025,
3600071267,36059,
4200081824,42055,
1700083622,17011,
4200080040,42003,
2900081178,29133,
1800076184,18087,
1700075809,17021,
1800080018,18091,
4800073710,48121,
4800073710,48439,
2000071575,20043,
600080588,6057,
1900081210,19011,
3900079044,39175,
4200084704,42003,
2900075364,29117,
3100049915,31159,
4600066260,46099,
3600076881,36015,
5600079705,56027,
5500084625,55137,
1300079444,13093,
3100046030,31043,
4200071776,42111,
2700061006,27097,
1900073335,19193,
1900073335,19149,
1900073290,19167,
3900072578,39071,
2100070752,21211,
2900067632,29145,
3600066949,36013,
3900071360,39059,
4000066250,40093,
4000066250,40043,
600049852,6093,
100051520,1085,
2700043810,27171,
2800054040,28033,
600048872,6053,
4800048804,48201,
4800048804,48157,
600045400,6037,
200042050,2290,
1900052815,19099,
4700048920,47071,
4700048920,47109,
4700048920,47023,
3900049728,39161,
2000057300,20015,
3900049098,39085,
3100028350,31163,
2200049240,22113,
4700058080,47155,
5500050700,55003,
3000043450,30053,
1300050596,13231,
4100038000,41039,
4800045672,48309,
4800045672,48099,
3900045822,39115,
4200043928,42115,
2900035000,29047,
2900035000,29095,
3900045626,39051,
3800051380,38055,
5500062175,55075,
5300040805,53073,
4800035636,48419,
1700068458,17131,
3600067510,36067,
3800052940,38081,
600042202,6077,
4800065690,48187,
1700047007,17031,
1200043175,12063,
2700039878,27013,
2700039878,27079,
2700039878,27103,
2800044680,28113,
3100030940,31051,
2800046880,28151,
1700047540,17031,
1700047540,17197,
4000044150,40141,
5300060055,53037,
600044364,6091,
1900046335,19103,
5500045575,55103,
4000043750,40019,
800045530,8123,
800045530,8001,
2900041870,29107,
4200061536,42003,
3700043720,37059,
1700048073,17071,
200055910,2090,
4100042600,41041,
1300056644,13107,
4000039200,40013,
4200049368,42027,
1900051105,19077,
5500068725,55025,
100044608,1003,
1700038921,17099,
3400036000,34017,
4800039352,48273,
200061630,2185,
4200070224,42079,
2000039400,20137,
1900072660,19061,
3100045225,31147,
1200033900,12107,
2900034228,29131,
3400065160,34007,
5400043780,54047,
500045560,5059,
2700036494,27029,
1300065324,13047,
1900059475,19167,
4800051396,48471,
100048064,1049,
4700041200,47149,
1900044130,19109,
500033910,5147,
4000039950,40061,
800050920,8037,
4200040272,42031,
800054880,8113,
4600040860,46125,
800070250,8027,
3900069204,39045,
3700047020,37163,
4800053304,48207,
1700040884,17097,
5500060200,55025,
1900040890,19123,
3600047405,36059,
4200058936,42017,
4800050076,48213,
4800044176,48145,
600039003,6037,
1700037179,17081,
3900037464,39087,
5400042244,54001,
2200039055,22113,
2000061825,20167,
4200051912,42089,
4200050736,42115,
4000039800,40071,
2800037560,28097,
4800037924,48077,
500038110,5107,
2700033236,27105,
5300047490,53061,
1700046279,17037,
2000063425,20051,
1600045370,16069,
2800040640,28005,
200040400,2198,
500037300,5071,
4200053464,42041,
2900050060,29073,
2700040688,27083,
5400050932,54045,
2700035702,27165,
1900063570,19053,
1200053500,12075,
2000033525,20123,
2100059322,21111,
3700057800,37163,
2900040034,29131,
2900040034,29029,
1200038600,12099,
4700041860,47117,
3000058450,30025,
3400038610,34019,
5500054650,55039,
4200041264,42107,
4200062752,42019,
3500039380,35013,
4000044000,40015,
2000053225,20121,
1900064200,19165,
1900043590,19069,
4200051496,42097,
4600033580,46085,
3900045094,39151,
4800049860,48159,
1700068198,17109,
600050076,6065,
500063710,5053,
4200065336,42011,
2900048242,29109,
3900054838,39011,
2600069035,26125,
1800051336,18111,
2800062560,28003,
3400059640,34001,
3800056740,38061,
1900063975,19151,
500051560,5149,
500056480,5029,
1800052524,18055,
100054600,1067,
3600051055,36063,
3400039210,34007,
4800051840,48313,
4800051840,48289,
1200049225,12086,
3900064430,39109,
4800051984,48291,
3600051792,36029,
4500050560,45075,
2100056730,21111,
1900052275,19185,
2600059440,26125,
4700053600,47001,
3800058740,38021,
1200050750,12083,
3700048700,37019,
100040096,1031,
3900057918,39047,
500051290,5097,
2000052275,20161,
5500068475,55109,
4200056456,42121,
2800053680,28017,
500033940,5131,
4600047180,46119,
4000055850,40139,
4200056912,42037,
3100037280,31175,
2200070245,22025,
1900059565,19001,
1200058715,12111,
1700048424,17137,
1900060240,19193,
800056475,8115,
2800054840,28071,
4200059520,42051,
5400044044,54077,
4100056250,41037,
1800057780,18117,
5400062332,54065,
4800054804,48215,
4000057100,40049,
4800047616,48191,
1700057732,17031,
1700057732,17197,
5100064000,51740,
3900061056,39157,
1200055475,12131,
3600056979,36119,
2700050470,27111,
4800068828,48199,
3400039420,34007,
100059328,1041,
5400063292,54001,
2700050776,27097,
100039784,1077,
4800059636,48215,
2800058360,28013,
4800040696,48183,
3900063436,39059,
200041830,2188,
100061536,1053,
1700061015,17105,
1300062104,13051,
2800059240,28107,
2000063750,20019,
600058380,6081,
500057080,5053,
4000040800,40109,
600039220,6059,
3100039345,31025,
3900065662,39081,
1700055379,17011,
3400062430,34025,
3500047080,35007,
2700053620,27049,
4100061300,41019,
4900064120,49005,
3900067440,39049,
4800038800,48281,
100065208,1003,
1700065078,17161,
3800072180,38073,
4100063450,41029,
4800063008,48453,
4800063020,48427,
3900067272,39015,
4200066720,42005,
1200036175,12103,
4800064088,48181,
2000033200,20013,
1900037155,19055,
4900036400,49057,
3100023025,31053,
3400032250,34017,
5500034825,55123,
2900032248,29099,
2000031850,20043,
3400031320,34019,
3100022325,31109,
2900031762,29073,
600033182,6065,
1800032818,18127,
5100035976,51153,
3700030280,37043,
3700030120,37049,
2100034966,21167,
